Category;Variable Name;Value
General Info;File;track07.mid
General Info;Format;Type 1
General Info;Tracks;2
General Info;Division (ticks per quarter note);480
General Info;Initial Tempo (BPM);120,00
General Info;Initial Tempo (µs/QN);500000
General Info;Key Signature;A# Minor (inferred)
General Info;Total Notes;2090
General Info;Note Density (notes/sec);16,22
General Info;Average Notes per Bar;32,15
General Info;Total Duration (formatted);02:08.825
General Info;Total Duration (bars);65
Pitch Stats;Mean (MIDI #);59,77
Pitch Stats;StdDev (MIDI #);12,62
Pitch Stats;Median (MIDI #);62
Pitch Stats;Mode (MIDI #);57
Pitch Stats;Min (MIDI #);29
Pitch Stats;Max (MIDI #);100
Pitch Stats;Range (semitones);71
Pitch Stats;Mean (Name);C4
Pitch Stats;StdDev (Interval);approx. Octave + Minor Second
Pitch Stats;Median (Name);D4
Pitch Stats;Mode (Name);A3
Pitch Stats;Min (Name);F1
Pitch Stats;Max (Name);E7
Pitch Stats;Range (Interval);5 Octaves + Major Seventh
Pitch Class Stats;Mode (Index 0-11);9
Pitch Class Stats;Mode (Name);A
Melodic Interval Stats (Track-based);Total Count;2089
Melodic Interval Stats (Track-based);Mode (Semitones);12
Melodic Interval Stats (Track-based);Mode (Name);Octave
Melodic Interval Stats (Track-based);Median (Semitones);3.0
Melodic Interval Stats (Track-based);Median (Name);Minor Third
Melodic Interval Stats (Track-based);Min (Semitones);-55
Melodic Interval Stats (Track-based);Min (Name);4 Octaves + Perfect Fifth
Melodic Interval Stats (Track-based);Max (Semitones);57
Melodic Interval Stats (Track-based);Max (Name);4 Octaves + Major Sixth
Melodic Interval Stats (Track-based);Range (Semitones);112
Melodic Interval Stats (Track-based);Range (Name);112 st
Harmonic Tension Stats;Mean Tension Score;42,55
Harmonic Tension Stats;StdDev of Tension;32,75
Harmonic Tension Stats;Max Tension Score;201
Velocity Stats;Mean;54,16
Velocity Stats;StdDev;12,44
Velocity Stats;Median;52
Velocity Stats;Mode;51
Velocity Stats;Min;25
Velocity Stats;Max;96
Velocity Stats;Range;71
Duration Stats (ms);Mean;289,6
Duration Stats (ms);StdDev;352,0
Duration Stats (ms);Median;175
Duration Stats (ms);Mode;70
Duration Stats (ms);Min;1
Duration Stats (ms);Max;3997
Duration Stats (ms);Range;3996
Temporal Precision;Grid Quantization Level;1/16
Temporal Precision;Grid Size (ticks);120
Temporal Precision;Avg. Absolute Deviation (ticks);31,598
Temporal Precision;Avg. Absolute Deviation (% Grid);26,33
Temporal Precision;RMS Deviation (ticks);36,347
Temporal Precision;Max. Absolute Deviation (ticks);60,000
Note Characteristics;Threshold Short Duration (ticks);10
Note Characteristics;Threshold Low Velocity;30
Note Characteristics;Potentially Erroneous Notes (Short AND Low Velocity);0
Note Characteristics;Potentially Erroneous Notes (%);0,00
Note Characteristics;Short Duration Notes Count;75
Note Characteristics;Short Duration Notes (%);3,59
Note Characteristics;Low Velocity Notes Count;8
Note Characteristics;Low Velocity Notes (%);0,38

Track Information;Track Number;Details
Track Information;2;(Prog: 0 (Acoustic Grand Piano))

Meta Events;Time (Bar:Beat:Tick or SMPTE);Tick;Type;Content

Pitch Class Distribution;Pitch Class;Count
Pitch Class Distribution;C;77
Pitch Class Distribution;C#;185
Pitch Class Distribution;D;319
Pitch Class Distribution;D#;0
Pitch Class Distribution;E;256
Pitch Class Distribution;F;102
Pitch Class Distribution;F#;163
Pitch Class Distribution;G;237
Pitch Class Distribution;G#;29
Pitch Class Distribution;A;586
Pitch Class Distribution;A#;0
Pitch Class Distribution;B;136

Melodic Interval Distribution;Interval (Semitones);Interval (Name);Count
Melodic Interval Distribution;-55;4 Octaves + Perfect Fifth;1
Melodic Interval Distribution;-53;4 Octaves + Perfect Fourth;1
Melodic Interval Distribution;-52;4 Octaves + Major Third;2
Melodic Interval Distribution;-50;4 Octaves + Major Second;1
Melodic Interval Distribution;-48;4 Octaves;2
Melodic Interval Distribution;-46;3 Octaves + Minor Seventh;1
Melodic Interval Distribution;-45;3 Octaves + Major Sixth;3
Melodic Interval Distribution;-43;3 Octaves + Perfect Fifth;5
Melodic Interval Distribution;-42;3 Octaves + Tritone;3
Melodic Interval Distribution;-41;3 Octaves + Perfect Fourth;4
Melodic Interval Distribution;-40;3 Octaves + Major Third;9
Melodic Interval Distribution;-39;3 Octaves + Minor Third;5
Melodic Interval Distribution;-38;3 Octaves + Major Second;5
Melodic Interval Distribution;-37;3 Octaves + Minor Second;1
Melodic Interval Distribution;-36;3 Octaves;22
Melodic Interval Distribution;-34;2 Octaves + Minor Seventh;5
Melodic Interval Distribution;-33;2 Octaves + Major Sixth;9
Melodic Interval Distribution;-32;2 Octaves + Minor Sixth;9
Melodic Interval Distribution;-31;2 Octaves + Perfect Fifth;17
Melodic Interval Distribution;-30;2 Octaves + Tritone;2
Melodic Interval Distribution;-29;2 Octaves + Perfect Fourth;17
Melodic Interval Distribution;-28;2 Octaves + Major Third;19
Melodic Interval Distribution;-27;2 Octaves + Minor Third;17
Melodic Interval Distribution;-26;2 Octaves + Major Second;14
Melodic Interval Distribution;-24;2 Octaves;58
Melodic Interval Distribution;-23;Octave + Major Seventh;2
Melodic Interval Distribution;-22;Octave + Minor Seventh;10
Melodic Interval Distribution;-21;Octave + Major Sixth;14
Melodic Interval Distribution;-20;Octave + Minor Sixth;15
Melodic Interval Distribution;-19;Octave + Perfect Fifth;35
Melodic Interval Distribution;-18;Octave + Tritone;4
Melodic Interval Distribution;-17;Octave + Perfect Fourth;26
Melodic Interval Distribution;-16;Octave + Major Third;25
Melodic Interval Distribution;-15;Octave + Minor Third;22
Melodic Interval Distribution;-14;Octave + Major Second;14
Melodic Interval Distribution;-13;Octave + Minor Second;2
Melodic Interval Distribution;-12;Octave;165
Melodic Interval Distribution;-11;Major Seventh;5
Melodic Interval Distribution;-10;Minor Seventh;9
Melodic Interval Distribution;-9;Major Sixth;34
Melodic Interval Distribution;-8;Minor Sixth;39
Melodic Interval Distribution;-7;Perfect Fifth;64
Melodic Interval Distribution;-6;Tritone;4
Melodic Interval Distribution;-5;Perfect Fourth;63
Melodic Interval Distribution;-4;Major Third;63
Melodic Interval Distribution;-3;Minor Third;44
Melodic Interval Distribution;-2;Major Second;13
Melodic Interval Distribution;-1;Minor Second;1
Melodic Interval Distribution;0;Unison;85
Melodic Interval Distribution;1;Minor Second;2
Melodic Interval Distribution;2;Major Second;17
Melodic Interval Distribution;3;Minor Third;73
Melodic Interval Distribution;4;Major Third;68
Melodic Interval Distribution;5;Perfect Fourth;95
Melodic Interval Distribution;6;Tritone;5
Melodic Interval Distribution;7;Perfect Fifth;104
Melodic Interval Distribution;8;Minor Sixth;66
Melodic Interval Distribution;9;Major Sixth;57
Melodic Interval Distribution;10;Minor Seventh;7
Melodic Interval Distribution;11;Major Seventh;2
